,Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezz Sales
296,4/2/2021,"10,537.09", Friday,2,4,21," 6,180.75"," 2,038.75"," 3,391.50"
297,4/3/2021,"6,820.47", Saturday,3,4,21," 5,249.75"," 1,055.85"," 3,441.00"
298,4/6/2021,"6,430.81", Tuesday,6,4,21," 1,910.09", 357.25," 1,372.12"
299,4/7/2021,"3,512.54", Wednesday,7,4,21," 1,221.25", 553.50, 862.00
300,4/8/2021,"6,294.73", Thursday,8,4,21," 2,096.75", 502.00," 1,015.00"
301,4/9/2021,"10,550.42", Friday,9,4,21," 3,101.65"," 1,195.00"," 2,142.75"
302,4/10/2021,"15,096.72", Saturday,10,4,21," 3,605.00", 882.25," 2,834.00"
303,4/13/2021,"4,959.63", Tuesday,13,4,21," 1,290.35", 479.50," 1,373.07"
304,4/14/2021,"4,026.90", Wednesday,14,4,21," 1,329.00", 586.25, 942.00
305,4/15/2021,"5,088.29", Thursday,15,4,21," 1,323.25", 519.00," 1,239.50"
306,4/16/2021,"17,619.42", Friday,16,4,21," 2,775.75", 832.25," 1,599.75"
307,4/17/2021,"24,045.50", Saturday,17,4,21," 2,627.51", 979.00," 1,580.25"
308,4/20/2021,"9,033.90", Tuesday,20,4,21," 2,198.17", 383.75, 949.25
309,4/21/2021,"5,038.47", Wednesday,21,4,21," 1,681.75", 547.25," 1,168.75"
